sample_time_utc,sample_time_local,sample_local_hour,sample_interval_seconds,site_timezone,site_latitude,site_longitude,inverter_ip,slave_id,forecast_refresh_seconds,manufacturer,model,software_version,serial_number,site_power_w,site_energy_day_wh,site_energy_total_wh,ac_total_current_a,voltage_ab_v,voltage_an_v,ac_power_w,frequency_hz,apparent_power_va,power_factor_pct,lifetime_energy_wh,dc_power_total_w,operating_state_code,string1_current_a,string1_voltage_v,string1_power_w,string2_current_a,string2_voltage_v,string2_power_w,battery_soc_pct,battery_voltage_v,battery_status_code,owm_current_observation_time_utc,owm_current_observation_time_local,owm_current_weather_main,owm_current_weather_description,owm_current_temp_c,owm_current_feels_like_c,owm_current_pressure_hpa,owm_current_humidity_pct,owm_current_clouds_pct,owm_current_visibility_m,owm_current_wind_speed_ms,owm_current_wind_deg,owm_current_wind_gust_ms,owm_current_rain_1h_mm,owm_current_sunrise_utc,owm_current_sunset_utc,owm_current_source,owm_current_api_url,owm_forecast_for_sample_hour_fetch_time_utc,owm_forecast_for_sample_hour_fetch_time_local,owm_forecast_for_sample_hour_target_time_utc,owm_forecast_for_sample_hour_target_time_local,owm_forecast_for_sample_hour_weather_main,owm_forecast_for_sample_hour_weather_description,owm_forecast_for_sample_hour_temp_c,owm_forecast_for_sample_hour_feels_like_c,owm_forecast_for_sample_hour_pressure_hpa,owm_forecast_for_sample_hour_humidity_pct,owm_forecast_for_sample_hour_clouds_pct,owm_forecast_for_sample_hour_visibility_m,owm_forecast_for_sample_hour_wind_speed_ms,owm_forecast_for_sample_hour_wind_deg,owm_forecast_for_sample_hour_wind_gust_ms,owm_forecast_for_sample_hour_pop,owm_forecast_for_sample_hour_rain_1h_mm,owm_forecast_for_sample_hour_snow_1h_mm,owm_yesterday_forecast_for_sample_hour_fetch_time_utc,owm_yesterday_forecast_for_sample_hour_fetch_time_local,owm_yesterday_forecast_for_sample_hour_target_time_utc,owm_yesterday_forecast_for_sample_hour_target_time_local,owm_yesterday_forecast_for_sample_hour_weather_main,owm_yesterday_forecast_for_sample_hour_weather_description,owm_yesterday_forecast_for_sample_hour_temp_c,owm_yesterday_forecast_for_sample_hour_feels_like_c,owm_yesterday_forecast_for_sample_hour_pressure_hpa,owm_yesterday_forecast_for_sample_hour_humidity_pct,owm_yesterday_forecast_for_sample_hour_clouds_pct,owm_yesterday_forecast_for_sample_hour_visibility_m,owm_yesterday_forecast_for_sample_hour_wind_speed_ms,owm_yesterday_forecast_for_sample_hour_wind_deg,owm_yesterday_forecast_for_sample_hour_wind_gust_ms,owm_yesterday_forecast_for_sample_hour_pop,owm_yesterday_forecast_for_sample_hour_rain_1h_mm,owm_yesterday_forecast_for_sample_hour_snow_1h_mm
2026-03-31T07:46:42.810677+00:00,2026-03-31T13:16:42.810677+05:30,2026-03-31T13:00:00+05:30,300,Asia/Colombo,6.77,79.88,10.12.123.209,3,3600,Fronius,Symo 5.0-3-M,0.3.30.1,31331226,5365,18988,19819230,17.61,393.8,230.2,22740,39.99,5018,300,13476640,4080,4,8.25,244.3,2015.4,8.35,247.3,2064.9,,,,2026-03-31T07:46:45+00:00,2026-03-31T13:16:45+05:30,Clouds,scattered clouds,33.44,40.28,1008,59,27,10000,5.21,241,4.56,,2026-03-31T00:39:20+00:00,2026-03-31T12:49:53+00:00,OpenWeather Current Weather API,https://api.openweathermap.org/data/2.5/weather?appid=ad68766b867a911094e68f762f59f00d&lat=6.77&lon=79.88&units=metric,2026-03-31T07:46:42.810677+00:00,2026-03-31T13:16:42.810677+05:30,2026-03-31T08:00:00+00:00,2026-03-31T13:30:00+05:30,Clouds,scattered clouds,33.44,40.28,1008,59,27,10000,5.21,241,4.56,0,,,,,,,,,,,,,,,,,,,,
2026-03-31T07:50:00.001126+00:00,2026-03-31T13:20:00.001126+05:30,2026-03-31T13:00:00+05:30,300,Asia/Colombo,6.77,79.88,10.12.123.209,3,3600,Fronius,Symo 5.0-3-M,0.3.30.1,31331226,5165,19274,19819509,16.8,392.2,227.2,23010,38.12,5022,-340,13476850,3896,4,7.14,262,1870.6,8.2,247.3,2027.8,,,,2026-03-31T07:46:45+00:00,2026-03-31T13:16:45+05:30,Clouds,scattered clouds,33.44,40.28,1008,59,27,10000,5.21,241,4.56,,2026-03-31T00:39:20+00:00,2026-03-31T12:49:53+00:00,OpenWeather Current Weather API,https://api.openweathermap.org/data/2.5/weather?appid=ad68766b867a911094e68f762f59f00d&lat=6.77&lon=79.88&units=metric,2026-03-31T07:46:42.810677+00:00,2026-03-31T13:16:42.810677+05:30,2026-03-31T08:00:00+00:00,2026-03-31T13:30:00+05:30,Clouds,scattered clouds,33.44,40.28,1008,59,27,10000,5.21,241,4.56,0,,,,,,,,,,,,,,,,,,,,
2026-03-31T07:55:00.001078+00:00,2026-03-31T13:25:00.001078+05:30,2026-03-31T13:00:00+05:30,300,Asia/Colombo,6.77,79.88,10.12.123.209,3,3600,Fronius,Symo 5.0-3-M,0.3.30.1,31331226,5223,19707,19819950,17,392.4,227.7,22740,38.46,5010,-220,13477180,3931,4,7.94,244.4,1940.5,8.05,247.3,1990.7,,,,2026-03-31T07:46:45+00:00,2026-03-31T13:16:45+05:30,Clouds,scattered clouds,33.44,40.28,1008,59,27,10000,5.21,241,4.56,,2026-03-31T00:39:20+00:00,2026-03-31T12:49:53+00:00,OpenWeather Current Weather API,https://api.openweathermap.org/data/2.5/weather?appid=ad68766b867a911094e68f762f59f00d&lat=6.77&lon=79.88&units=metric,2026-03-31T07:46:42.810677+00:00,2026-03-31T13:16:42.810677+05:30,2026-03-31T08:00:00+00:00,2026-03-31T13:30:00+05:30,Clouds,scattered clouds,33.44,40.28,1008,59,27,10000,5.21,241,4.56,0,,,,,,,,,,,,,,,,,,,,
2026-04-21T10:38:38.331628+00:00,2026-04-21T16:08:38.331628+05:30,2026-04-21T16:00:00+05:30,300,Asia/Colombo,6.77,79.88,10.12.123.209,3,3600,Fronius,Symo 5.0-3-M,0.3.30.1,31331226,2738,39289,20575460,8.91,397.6,230.3,2298,204.9,499.7,-110,14057290,2102.8,4,4.12,255.3,1051.8,4.12,255.1,1051,,,,2026-04-21T10:29:00+00:00,2026-04-21T15:59:00+05:30,Clouds,overcast clouds,29.3,34.02,1007,73,100,8683,3.71,253,3.78,,2026-04-21T00:29:59+00:00,2026-04-21T12:48:09+00:00,OpenWeather Current Weather API,https://api.openweathermap.org/data/2.5/weather?appid=ad68766b867a911094e68f762f59f00d&lat=6.77&lon=79.88&units=metric,2026-04-21T10:38:38.331628+00:00,2026-04-21T16:08:38.331628+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,moderate rain,29.25,33.89,1007,73,100,10000,3.84,251,4.07,1,1.15,,2026-04-20T10:27:35.099015+00:00,2026-04-20T15:57:35.099015+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,light rain,29.18,33.93,1007,74,100,10000,3.51,262,3.95,0.86,0.7,0
2026-04-21T10:40:00.000652+00:00,2026-04-21T16:10:00.000652+05:30,2026-04-21T16:00:00+05:30,300,Asia/Colombo,6.77,79.88,10.12.123.209,3,3600,Fronius,Symo 5.0-3-M,0.3.30.1,31331226,2697,39350,20575519,8.79,398.8,231,2305,202.1,500.2,140,14057340,2075.3,4,4.08,254.3,1037.5,4.07,255,1037.8,,,,2026-04-21T10:38:24+00:00,2026-04-21T16:08:24+05:30,Clouds,overcast clouds,29.25,33.89,1007,73,100,10000,3.84,251,4.07,,2026-04-21T00:29:59+00:00,2026-04-21T12:48:09+00:00,OpenWeather Current Weather API,https://api.openweathermap.org/data/2.5/weather?appid=ad68766b867a911094e68f762f59f00d&lat=6.77&lon=79.88&units=metric,2026-04-21T10:38:38.331628+00:00,2026-04-21T16:08:38.331628+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,moderate rain,29.25,33.89,1007,73,100,10000,3.84,251,4.07,1,1.15,,2026-04-20T10:27:35.099015+00:00,2026-04-20T15:57:35.099015+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,light rain,29.18,33.93,1007,74,100,10000,3.51,262,3.95,0.86,0.7,0
2026-04-21T10:45:00.000908+00:00,2026-04-21T16:15:00.000908+05:30,2026-04-21T16:00:00+05:30,300,Asia/Colombo,6.77,79.88,10.12.123.209,3,3600,Fronius,Symo 5.0-3-M,0.3.30.1,31331226,2560,39569,20575740,8.31,398.8,231.3,2300,191.3,500.5,110,14057500,1966.9,4,3.87,254.3,984.1,3.86,254.6,982.7,,,,2026-04-21T10:38:24+00:00,2026-04-21T16:08:24+05:30,Clouds,overcast clouds,29.25,33.89,1007,73,100,10000,3.84,251,4.07,,2026-04-21T00:29:59+00:00,2026-04-21T12:48:09+00:00,OpenWeather Current Weather API,https://api.openweathermap.org/data/2.5/weather?appid=ad68766b867a911094e68f762f59f00d&lat=6.77&lon=79.88&units=metric,2026-04-21T10:38:38.331628+00:00,2026-04-21T16:08:38.331628+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,moderate rain,29.25,33.89,1007,73,100,10000,3.84,251,4.07,1,1.15,,2026-04-20T10:27:35.099015+00:00,2026-04-20T15:57:35.099015+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,light rain,29.18,33.93,1007,74,100,10000,3.51,262,3.95,0.86,0.7,0
2026-04-21T10:50:00.003546+00:00,2026-04-21T16:20:00.003546+05:30,2026-04-21T16:00:00+05:30,300,Asia/Colombo,6.77,79.88,10.12.123.209,3,3600,Fronius,Symo 5.0-3-M,0.3.30.1,31331226,2444,39776,20575950,7.92,400,231.3,2314,182.8,502.1,-80,14057660,1884,4,3.7,254.5,941.6,3.64,258.9,942.4,,,,2026-04-21T10:38:24+00:00,2026-04-21T16:08:24+05:30,Clouds,overcast clouds,29.25,33.89,1007,73,100,10000,3.84,251,4.07,,2026-04-21T00:29:59+00:00,2026-04-21T12:48:09+00:00,OpenWeather Current Weather API,https://api.openweathermap.org/data/2.5/weather?appid=ad68766b867a911094e68f762f59f00d&lat=6.77&lon=79.88&units=metric,2026-04-21T10:38:38.331628+00:00,2026-04-21T16:08:38.331628+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,moderate rain,29.25,33.89,1007,73,100,10000,3.84,251,4.07,1,1.15,,2026-04-20T10:27:35.099015+00:00,2026-04-20T15:57:35.099015+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,light rain,29.18,33.93,1007,74,100,10000,3.51,262,3.95,0.86,0.7,0
2026-04-21T10:55:00.003151+00:00,2026-04-21T16:25:00.003151+05:30,2026-04-21T16:00:00+05:30,300,Asia/Colombo,6.77,79.88,10.12.123.209,3,3600,Fronius,Symo 5.0-3-M,0.3.30.1,31331226,2311,39974,20576149,7.47,400.4,232.4,2321,172.8,500.3,70,14057810,1778.8,4,3.49,254.4,887.8,3.44,259,890.9,,,,2026-04-21T10:55:01+00:00,2026-04-21T16:25:01+05:30,Clouds,overcast clouds,29.25,33.89,1007,73,100,10000,3.84,251,4.07,,2026-04-21T00:29:59+00:00,2026-04-21T12:48:09+00:00,OpenWeather Current Weather API,https://api.openweathermap.org/data/2.5/weather?appid=ad68766b867a911094e68f762f59f00d&lat=6.77&lon=79.88&units=metric,2026-04-21T10:38:38.331628+00:00,2026-04-21T16:08:38.331628+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,moderate rain,29.25,33.89,1007,73,100,10000,3.84,251,4.07,1,1.15,,2026-04-20T10:27:35.099015+00:00,2026-04-20T15:57:35.099015+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,light rain,29.18,33.93,1007,74,100,10000,3.51,262,3.95,0.86,0.7,0
2026-04-21T11:00:00.010355+00:00,2026-04-21T16:30:00.010355+05:30,2026-04-21T16:00:00+05:30,300,Asia/Colombo,6.77,79.88,10.12.123.209,3,3600,Fronius,Symo 5.0-3-M,0.3.30.1,31331226,2168,40162,20576338,7.05,399.4,231.3,2320,162.6,501.8,80,14057949,1669.8,4,3.22,259.5,835.5,3.24,257.5,834.3,,,,2026-04-21T10:55:01+00:00,2026-04-21T16:25:01+05:30,Clouds,overcast clouds,29.25,33.89,1007,73,100,10000,3.84,251,4.07,,2026-04-21T00:29:59+00:00,2026-04-21T12:48:09+00:00,OpenWeather Current Weather API,https://api.openweathermap.org/data/2.5/weather?appid=ad68766b867a911094e68f762f59f00d&lat=6.77&lon=79.88&units=metric,2026-04-21T10:38:38.331628+00:00,2026-04-21T16:08:38.331628+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,moderate rain,29.25,33.89,1007,73,100,10000,3.84,251,4.07,1,1.15,,2026-04-20T10:27:35.099015+00:00,2026-04-20T15:57:35.099015+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,light rain,29.18,33.93,1007,74,100,10000,3.51,262,3.95,0.86,0.7,0
2026-04-21T11:05:00.001420+00:00,2026-04-21T16:35:00.001420+05:30,2026-04-21T16:00:00+05:30,300,Asia/Colombo,6.77,79.88,10.12.123.209,3,3600,Fronius,Symo 5.0-3-M,0.3.30.1,31331226,2048,40336,20576510,6.63,400.6,231.3,2315,153.8,501.1,70,14058080,1583.7,4,3.06,259.4,793.7,3.05,259,789.9,,,,2026-04-21T11:01:58+00:00,2026-04-21T16:31:58+05:30,Clouds,overcast clouds,29.25,33.89,1007,73,100,10000,3.84,251,4.07,,2026-04-21T00:29:59+00:00,2026-04-21T12:48:09+00:00,OpenWeather Current Weather API,https://api.openweathermap.org/data/2.5/weather?appid=ad68766b867a911094e68f762f59f00d&lat=6.77&lon=79.88&units=metric,2026-04-21T10:38:38.331628+00:00,2026-04-21T16:08:38.331628+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,moderate rain,29.25,33.89,1007,73,100,10000,3.84,251,4.07,1,1.15,,2026-04-20T10:27:35.099015+00:00,2026-04-20T15:57:35.099015+05:30,2026-04-21T11:00:00+00:00,2026-04-21T16:30:00+05:30,Rain,light rain,29.18,33.93,1007,74,100,10000,3.51,262,3.95,0.86,0.7,0
