hour,predicted_kW,cloud_cover_%,GHI_Wm2,temp_C
00:00,3.94,100,0.0,26.1
01:00,5.53,100,0.0,25.7
02:00,2.53,100,0.0,25.5
03:00,0.0,99,0.0,25.3
04:00,3.49,100,0.0,25.4
05:00,9.32,100,0.0,25.9
06:00,12.21,100,11.0,26.3
07:00,15.42,100,139.0,27.8
08:00,15.35,100,371.0,29.0
09:00,9.31,100,479.0,29.8
10:00,3.97,100,695.0,30.6
11:00,3.42,100,755.0,30.7
12:00,3.52,100,312.0,28.9
13:00,2.84,100,547.0,30.4
14:00,3.37,100,500.0,30.3
15:00,4.79,100,359.0,29.3
16:00,6.82,100,160.0,28.4
17:00,9.5,100,53.0,29.1
18:00,11.83,100,23.0,28.2
19:00,13.56,100,0.0,27.7
20:00,15.52,100,0.0,27.3
21:00,17.12,100,0.0,26.8
22:00,16.59,100,0.0,26.6
23:00,15.47,100,0.0,26.5
