,RMSE,MAE,MBE,MAPE,nRMSE,R2
h1,38494.8,23689.5,-15000.6,143.25,67.74,0.7573
h2,37076.2,22644.0,-12818.8,149.39,65.31,0.7744
h3,36581.4,22578.1,-10506.0,166.68,64.66,0.7796
h4,36669.6,23066.6,-8695.1,177.24,65.01,0.778
h5,37128.6,23767.1,-7698.0,182.65,65.94,0.7724
h6,38046.8,24472.2,-7343.2,190.6,67.66,0.7611
h7,38817.5,25433.3,-7018.7,200.57,69.04,0.7514
h8,39123.6,25802.5,-7224.7,200.28,69.59,0.7475
h9,39237.8,25655.0,-8103.9,194.93,69.79,0.746
h10,39443.3,25545.2,-8887.6,193.54,70.16,0.7434
h11,39507.9,25667.3,-9015.4,191.83,70.27,0.7425
h12,39868.5,26005.0,-9019.9,197.96,70.91,0.7378
h13,40452.0,26313.5,-9403.9,201.04,71.95,0.7301
h14,41034.2,26649.2,-9834.4,203.55,72.99,0.7222
h15,41426.5,26909.2,-10322.4,203.68,73.69,0.7169
h16,41498.2,26811.2,-11004.2,201.9,73.81,0.7159
h17,41168.3,26474.3,-11252.5,192.05,73.22,0.7204
h18,40565.3,26244.7,-10940.6,193.33,72.09,0.7284
h19,39833.7,25991.5,-10279.4,195.44,70.66,0.7381
h20,39318.5,25855.2,-9692.6,195.42,69.55,0.7453
h21,39331.3,25927.3,-9452.8,195.03,69.34,0.7459
h22,39670.1,26187.8,-9518.3,195.08,69.73,0.7427
h23,40173.7,26305.2,-9942.6,193.45,70.45,0.7373
h24,40180.6,26359.3,-9757.4,193.8,70.37,0.7381
mean,39360.4,25431.4,-9697.2,189.7,69.75,0.7447
