,RMSE,MAE,MBE,MAPE,nRMSE,R2
h1,31462.1,18534.8,14.3,146.52,55.36,0.8378
h2,54768.0,33557.3,70.1,366.94,96.47,0.5078
h3,75080.3,48195.4,270.8,552.15,132.72,0.0714
h4,92404.1,62019.7,434.4,701.66,163.81,-0.4095
h5,106623.7,74969.1,535.1,772.66,189.36,-0.8766
h6,117972.1,86428.7,607.4,769.95,209.79,-1.2964
h7,126339.3,96213.8,616.0,735.84,224.7,-1.6334
h8,131809.6,103083.9,621.0,639.99,234.45,-1.8661
h9,134758.9,108514.1,621.4,517.23,239.7,-1.9958
h10,135937.6,111123.7,621.4,352.75,241.79,-2.0484
h11,136216.8,112787.4,621.4,181.43,242.29,-2.0609
h12,136241.4,112887.0,621.4,95.01,242.33,-2.062
h13,136215.0,112783.8,621.4,162.77,242.29,-2.0608
h14,135932.7,111109.3,621.4,330.53,241.78,-2.0482
h15,134763.9,108524.3,621.4,512.77,239.71,-1.996
h16,131830.2,103053.7,621.4,663.66,234.49,-1.867
h17,126470.0,96202.6,617.9,775.01,224.94,-1.6387
h18,118491.6,86758.8,575.5,811.5,210.59,-1.3174
h19,107744.7,75775.8,470.0,798.83,191.13,-0.9159
h20,94224.8,63164.8,310.6,717.81,166.68,-0.4628
h21,78204.3,50229.9,122.0,597.98,137.88,-0.0046
h22,60230.2,37001.4,-48.7,399.13,105.87,0.4068
h23,42629.9,24280.3,-178.3,176.4,74.76,0.7042
h24,35111.9,16271.6,-254.5,66.35,61.5,0.8
mean,103394.3,77228.0,406.5,493.54,183.52,-0.968
