,RMSE,MAE,MBE,MAPE,nRMSE,R2
h1,43739.3,24549.0,-478.0,180.04,76.97,0.6866
h2,43619.8,24461.9,-390.9,179.95,76.83,0.6878
h3,43541.8,24429.5,-201.9,183.82,76.97,0.6877
h4,43514.5,24409.9,-92.0,185.89,77.14,0.6874
h5,43503.4,24392.1,-43.5,186.16,77.26,0.6876
h6,43493.6,24365.6,-14.3,186.42,77.34,0.6879
h7,43380.5,24271.5,-108.4,184.81,77.15,0.6895
h8,43365.3,24237.0,-142.9,183.92,77.13,0.6898
h9,43364.8,24230.6,-149.3,183.92,77.13,0.6898
h10,43364.8,24230.5,-149.4,183.92,77.13,0.6898
h11,43364.8,24230.5,-149.4,183.92,77.13,0.6898
h12,43364.8,24230.5,-149.4,183.92,77.13,0.6898
h13,43364.8,24230.5,-149.4,183.92,77.13,0.6898
h14,43364.8,24230.5,-149.4,183.92,77.13,0.6898
h15,43364.8,24230.5,-149.4,183.92,77.13,0.6898
h16,43364.8,24230.5,-149.4,183.92,77.13,0.6898
h17,43364.9,24234.1,-152.9,183.77,77.13,0.6898
h18,43383.7,24272.4,-191.2,183.61,77.1,0.6894
h19,43442.1,24340.0,-258.9,183.4,77.06,0.6885
h20,43506.1,24410.9,-329.7,183.16,76.96,0.6881
h21,43522.7,24445.2,-364.1,183.02,76.73,0.6889
h22,43512.7,24432.6,-351.5,182.87,76.48,0.6904
h23,43480.0,24396.2,-315.1,182.77,76.25,0.6923
h24,43451.9,24368.1,-286.9,182.73,76.1,0.6937
mean,43447.5,24327.5,-204.9,183.65,76.99,0.6893
