,lstm_only,same_day,persistence
h1,38494.81249303926,43739.330419689264,31462.050516744686
h2,37076.16855050984,43619.78142213092,54768.002133542606
h3,36581.40647669321,43541.783131427816,75080.29787382446
h4,36669.636285509434,43514.455338147374,92404.1370077046
h5,37128.63740592836,43503.44296217071,106623.71642212152
h6,38046.810218479884,43493.587009030634,117972.13247877685
h7,38817.4808116117,43380.455325728064,126339.26154219174
h8,39123.63674734589,43365.313234918925,131809.57294629051
h9,39237.80746531547,43364.78892857571,134758.87023238945
h10,39443.297283473155,43364.78881713758,135937.63583698898
h11,39507.87579987849,43364.78881713758,136216.8094743511
h12,39868.48091043066,43364.78881713758,136241.4368046618
h13,40452.00875409918,43364.78881713758,136214.9751716146
h14,41034.17704112691,43364.78881713758,135932.72337262673
h15,41426.471320841316,43364.78881713758,134763.87982399733
h16,41498.20863570641,43364.78881713758,131830.1827966571
h17,41168.32448376805,43364.94914478114,126470.0340881019
h18,40565.338204250154,43383.667485205355,118491.62260589296
h19,39833.725443956726,43442.11682658438,107744.68591753619
h20,39318.53141577335,43506.08349160076,94224.80797514429
h21,39331.32829994373,43522.71766824771,78204.31645515186
h22,39670.11214353827,43512.72406800882,60230.151748226126
h23,40173.65253370476,43480.018561515004,42629.91673537021
h24,40180.56692236532,43451.879692074675,35111.93488646286
mean,39360.35398530373,43447.52568457501,103394.29811859876
