,RMSE,MAE,MBE,MAPE,nRMSE,R2
h1,35830.6,21302.2,-13508.1,114.85,63.05,0.7897
h2,38522.6,23196.2,-13612.8,130.03,67.85,0.7565
h3,39791.9,24063.1,-13305.7,148.0,70.34,0.7392
h4,40187.3,24511.1,-12755.2,156.87,71.24,0.7334
h5,40286.2,24524.8,-12765.5,157.23,71.55,0.7321
h6,40057.5,24418.2,-12398.7,158.5,71.23,0.7352
h7,39539.6,24136.5,-12130.0,155.6,70.32,0.7421
h8,39222.6,23804.2,-12046.3,153.67,69.76,0.7462
h9,38907.3,23685.3,-11500.9,155.94,69.2,0.7503
h10,38746.4,23667.2,-11110.7,157.63,68.92,0.7523
h11,38736.4,23769.7,-11022.3,158.55,68.9,0.7525
h12,38366.9,23557.9,-10850.1,158.15,68.24,0.7572
h13,38277.0,23442.0,-10745.0,155.66,68.08,0.7583
h14,38563.6,23688.5,-10682.0,156.07,68.59,0.7547
h15,39168.3,23928.2,-11359.6,155.64,69.67,0.7469
h16,39748.1,24192.7,-12193.6,151.18,70.7,0.7394
h17,39331.6,23803.6,-12453.3,147.06,69.95,0.7448
h18,39288.2,23580.3,-12957.3,140.02,69.83,0.7452
h19,39524.5,23769.7,-13051.8,139.86,70.11,0.7422
h20,40046.7,24215.3,-13442.4,140.57,70.84,0.7358
h21,41009.2,24755.7,-14459.6,138.52,72.3,0.7238
h22,41410.9,24803.8,-15249.2,137.39,72.79,0.7196
h23,41731.6,25002.1,-15435.2,139.11,73.19,0.7165
h24,41900.4,25128.7,-15507.9,138.49,73.39,0.7152
mean,39508.1,23956.1,-12689.3,147.69,70.0,0.7429
