,RMSE,MAE,MBE,MAPE,nRMSE,R2
h1,17659.5,9495.5,-909.2,49.21,31.08,0.9489
h2,21868.4,12759.4,-2190.5,72.72,38.52,0.9215
h3,23307.1,12960.4,-2373.3,82.77,41.2,0.9105
h4,24998.5,13955.3,-3674.8,86.53,44.32,0.8968
h5,26294.3,14591.2,-6397.1,70.12,46.7,0.8859
h6,27057.2,14617.0,-6343.5,68.01,48.11,0.8792
h7,25812.0,14203.3,-5029.3,78.05,45.91,0.8901
h8,25383.2,14129.2,-4868.0,79.36,45.15,0.8937
h9,25475.9,14375.4,-4892.7,82.72,45.31,0.8929
h10,26833.4,14772.9,-6382.6,75.95,47.73,0.8812
h11,27605.5,15057.0,-6722.6,78.91,49.1,0.8743
h12,27810.5,14890.7,-7181.5,72.16,49.47,0.8724
h13,26362.9,14359.3,-6426.2,73.28,46.89,0.8853
h14,27729.2,14913.7,-7678.1,75.56,49.32,0.8732
h15,27575.6,15018.5,-6607.3,73.42,49.05,0.8746
h16,28188.8,15349.6,-7892.6,79.84,50.14,0.8689
h17,27737.8,14957.7,-7641.7,64.71,49.33,0.8731
h18,29378.4,15247.9,-8250.7,58.15,52.21,0.8575
h19,29272.2,16004.6,-7585.7,60.26,51.93,0.8586
h20,30201.7,16152.9,-8286.7,70.86,53.42,0.8497
h21,29855.3,15843.1,-7615.2,66.42,52.64,0.8536
h22,29284.7,15752.7,-7513.1,67.32,51.48,0.8598
h23,30580.0,16134.7,-7568.0,74.69,53.63,0.8478
h24,30238.2,16193.4,-6916.0,70.13,52.96,0.8517
mean,26937.9,14655.6,-6122.8,72.13,47.73,0.8792
