date,hour,target_datetime,predicted_kW,actual_kW
2026-04-22,00:00,2026-04-22 00:00:00,0.0,
2026-04-22,01:00,2026-04-22 01:00:00,0.0,
2026-04-22,02:00,2026-04-22 02:00:00,0.0,
2026-04-22,03:00,2026-04-22 03:00:00,0.076,
2026-04-22,04:00,2026-04-22 04:00:00,0.0,
2026-04-22,05:00,2026-04-22 05:00:00,0.0,0.0
2026-04-22,06:00,2026-04-22 06:00:00,0.199,0.293
2026-04-22,07:00,2026-04-22 07:00:00,1.08,1.53
2026-04-22,08:00,2026-04-22 08:00:00,1.65,3.168
2026-04-22,09:00,2026-04-22 09:00:00,2.101,4.77
2026-04-22,10:00,2026-04-22 10:00:00,2.267,4.423
2026-04-22,11:00,2026-04-22 11:00:00,2.562,5.676
2026-04-22,12:00,2026-04-22 12:00:00,2.56,5.626
2026-04-22,13:00,2026-04-22 13:00:00,2.281,5.41
2026-04-22,14:00,2026-04-22 14:00:00,2.279,4.524
2026-04-22,15:00,2026-04-22 15:00:00,1.981,3.474
2026-04-22,16:00,2026-04-22 16:00:00,1.412,2.122
2026-04-22,17:00,2026-04-22 17:00:00,0.737,1.006
2026-04-22,18:00,2026-04-22 18:00:00,0.0,0.16
2026-04-22,19:00,2026-04-22 19:00:00,0.0,
2026-04-22,20:00,2026-04-22 20:00:00,0.0,
2026-04-22,21:00,2026-04-22 21:00:00,0.18,
2026-04-22,22:00,2026-04-22 22:00:00,0.089,
2026-04-22,23:00,2026-04-22 23:00:00,0.0,
2026-04-24,00:00,2026-04-24 00:00:00,0.068,
2026-04-24,01:00,2026-04-24 01:00:00,0.0,
2026-04-24,02:00,2026-04-24 02:00:00,0.0,
2026-04-24,03:00,2026-04-24 03:00:00,0.032,
2026-04-24,04:00,2026-04-24 04:00:00,0.0,
2026-04-24,05:00,2026-04-24 05:00:00,0.0,0.0
2026-04-24,06:00,2026-04-24 06:00:00,0.204,0.002
2026-04-24,07:00,2026-04-24 07:00:00,1.094,0.227
2026-04-24,08:00,2026-04-24 08:00:00,1.571,0.411
2026-04-24,09:00,2026-04-24 09:00:00,1.992,0.189
2026-04-24,10:00,2026-04-24 10:00:00,2.171,1.209
2026-04-24,11:00,2026-04-24 11:00:00,2.374,2.182
2026-04-24,12:00,2026-04-24 12:00:00,2.391,1.98
2026-04-24,13:00,2026-04-24 13:00:00,2.137,1.49
2026-04-24,14:00,2026-04-24 14:00:00,2.094,2.667
2026-04-24,15:00,2026-04-24 15:00:00,1.859,2.016
2026-04-24,16:00,2026-04-24 16:00:00,1.396,1.529
2026-04-24,17:00,2026-04-24 17:00:00,0.708,0.501
2026-04-24,18:00,2026-04-24 18:00:00,0.0,0.021
2026-04-24,19:00,2026-04-24 19:00:00,0.011,
2026-04-24,20:00,2026-04-24 20:00:00,0.0,
2026-04-24,21:00,2026-04-24 21:00:00,0.124,
2026-04-24,22:00,2026-04-24 22:00:00,0.038,
2026-04-24,23:00,2026-04-24 23:00:00,0.015,
2026-04-25,00:00,2026-04-25 00:00:00,0.024,
2026-04-25,01:00,2026-04-25 01:00:00,0.0,
2026-04-25,02:00,2026-04-25 02:00:00,0.0,
2026-04-25,03:00,2026-04-25 03:00:00,0.015,
2026-04-25,04:00,2026-04-25 04:00:00,0.0,
2026-04-25,05:00,2026-04-25 05:00:00,0.039,0.0
2026-04-25,06:00,2026-04-25 06:00:00,0.124,0.368
2026-04-25,07:00,2026-04-25 07:00:00,1.129,1.781
2026-04-25,08:00,2026-04-25 08:00:00,1.472,3.303
2026-04-25,09:00,2026-04-25 09:00:00,1.71,4.448
2026-04-25,10:00,2026-04-25 10:00:00,1.837,5.473
2026-04-25,11:00,2026-04-25 11:00:00,1.879,4.477
2026-04-25,12:00,2026-04-25 12:00:00,1.867,5.721
2026-04-25,13:00,2026-04-25 13:00:00,1.854,5.341
2026-04-25,14:00,2026-04-25 14:00:00,1.761,4.684
2026-04-25,15:00,2026-04-25 15:00:00,1.626,3.679
2026-04-25,16:00,2026-04-25 16:00:00,1.312,
2026-04-25,17:00,2026-04-25 17:00:00,0.704,
2026-04-25,18:00,2026-04-25 18:00:00,0.0,
2026-04-25,19:00,2026-04-25 19:00:00,0.057,
2026-04-25,20:00,2026-04-25 20:00:00,0.021,
2026-04-25,21:00,2026-04-25 21:00:00,0.044,
2026-04-25,22:00,2026-04-25 22:00:00,0.028,
2026-04-25,23:00,2026-04-25 23:00:00,0.043,
2026-04-28,00:00,2026-04-28 00:00:00,0.137,
2026-04-28,01:00,2026-04-28 01:00:00,0.0,
2026-04-28,02:00,2026-04-28 02:00:00,0.0,
2026-04-28,03:00,2026-04-28 03:00:00,0.0,
2026-04-28,04:00,2026-04-28 04:00:00,0.0,
2026-04-28,05:00,2026-04-28 05:00:00,0.014,0.0
2026-04-28,06:00,2026-04-28 06:00:00,0.171,0.214
2026-04-28,07:00,2026-04-28 07:00:00,1.1,1.344
2026-04-28,08:00,2026-04-28 08:00:00,1.452,2.274
2026-04-28,09:00,2026-04-28 09:00:00,1.837,2.54
2026-04-28,10:00,2026-04-28 10:00:00,1.951,4.296
2026-04-28,11:00,2026-04-28 11:00:00,2.193,5.191
2026-04-28,12:00,2026-04-28 12:00:00,2.088,5.737
2026-04-28,13:00,2026-04-28 13:00:00,1.867,
2026-04-28,14:00,2026-04-28 14:00:00,1.838,
2026-04-28,15:00,2026-04-28 15:00:00,1.685,
2026-04-28,16:00,2026-04-28 16:00:00,1.359,
2026-04-28,17:00,2026-04-28 17:00:00,0.752,
2026-04-28,18:00,2026-04-28 18:00:00,0.0,
2026-04-28,19:00,2026-04-28 19:00:00,0.016,
2026-04-28,20:00,2026-04-28 20:00:00,0.0,
2026-04-28,21:00,2026-04-28 21:00:00,0.027,
2026-04-28,22:00,2026-04-28 22:00:00,0.013,
2026-04-28,23:00,2026-04-28 23:00:00,0.026,
2026-04-23,00:00,2026-04-23 00:00:00,0.018,
2026-04-23,01:00,2026-04-23 01:00:00,0.0,
2026-04-23,02:00,2026-04-23 02:00:00,0.0,
2026-04-23,03:00,2026-04-23 03:00:00,0.025,
2026-04-23,04:00,2026-04-23 04:00:00,0.0,
2026-04-23,05:00,2026-04-23 05:00:00,0.053,
2026-04-23,06:00,2026-04-23 06:00:00,0.122,
2026-04-23,07:00,2026-04-23 07:00:00,1.139,
2026-04-23,08:00,2026-04-23 08:00:00,1.465,
2026-04-23,09:00,2026-04-23 09:00:00,1.683,
2026-04-23,10:00,2026-04-23 10:00:00,1.821,
2026-04-23,11:00,2026-04-23 11:00:00,1.853,
2026-04-23,12:00,2026-04-23 12:00:00,1.8,
2026-04-23,13:00,2026-04-23 13:00:00,1.829,4.383
2026-04-23,14:00,2026-04-23 14:00:00,1.734,4.423
2026-04-23,15:00,2026-04-23 15:00:00,1.616,3.961
2026-04-23,16:00,2026-04-23 16:00:00,1.317,2.372
2026-04-23,17:00,2026-04-23 17:00:00,0.716,0.954
