date,hour,target_datetime,predicted_kW,actual_kW
2026-04-22,00:00,2026-04-22 00:00:00,0.0,
2026-04-22,01:00,2026-04-22 01:00:00,0.0,
2026-04-22,02:00,2026-04-22 02:00:00,0.003,
2026-04-22,03:00,2026-04-22 03:00:00,0.026,
2026-04-22,04:00,2026-04-22 04:00:00,0.018,
2026-04-22,05:00,2026-04-22 05:00:00,0.0,0.0
2026-04-22,06:00,2026-04-22 06:00:00,0.22,0.293
2026-04-22,07:00,2026-04-22 07:00:00,1.141,1.53
2026-04-22,08:00,2026-04-22 08:00:00,1.804,3.168
2026-04-22,09:00,2026-04-22 09:00:00,2.028,4.77
2026-04-22,10:00,2026-04-22 10:00:00,2.381,4.423
2026-04-22,11:00,2026-04-22 11:00:00,2.464,5.676
2026-04-22,12:00,2026-04-22 12:00:00,2.668,5.626
2026-04-22,13:00,2026-04-22 13:00:00,2.349,5.41
2026-04-22,14:00,2026-04-22 14:00:00,2.305,4.524
2026-04-22,15:00,2026-04-22 15:00:00,2.043,3.474
2026-04-22,16:00,2026-04-22 16:00:00,1.582,2.122
2026-04-22,17:00,2026-04-22 17:00:00,0.748,1.006
2026-04-22,18:00,2026-04-22 18:00:00,0.089,0.16
2026-04-22,19:00,2026-04-22 19:00:00,0.008,
2026-04-22,20:00,2026-04-22 20:00:00,0.019,
2026-04-22,21:00,2026-04-22 21:00:00,0.0,
2026-04-22,22:00,2026-04-22 22:00:00,0.014,
2026-04-22,23:00,2026-04-22 23:00:00,0.018,
2026-04-24,00:00,2026-04-24 00:00:00,0.0,
2026-04-24,01:00,2026-04-24 01:00:00,0.0,
2026-04-24,02:00,2026-04-24 02:00:00,0.004,
2026-04-24,03:00,2026-04-24 03:00:00,0.024,
2026-04-24,04:00,2026-04-24 04:00:00,0.018,
2026-04-24,05:00,2026-04-24 05:00:00,0.0,0.0
2026-04-24,06:00,2026-04-24 06:00:00,0.221,0.002
2026-04-24,07:00,2026-04-24 07:00:00,1.14,0.227
2026-04-24,08:00,2026-04-24 08:00:00,1.807,0.411
2026-04-24,09:00,2026-04-24 09:00:00,2.03,0.189
2026-04-24,10:00,2026-04-24 10:00:00,2.384,1.209
2026-04-24,11:00,2026-04-24 11:00:00,2.467,2.182
2026-04-24,12:00,2026-04-24 12:00:00,2.671,1.98
2026-04-24,13:00,2026-04-24 13:00:00,2.349,1.49
2026-04-24,14:00,2026-04-24 14:00:00,2.306,2.667
2026-04-24,15:00,2026-04-24 15:00:00,2.043,2.016
2026-04-24,16:00,2026-04-24 16:00:00,1.581,1.529
2026-04-24,17:00,2026-04-24 17:00:00,0.749,0.501
2026-04-24,18:00,2026-04-24 18:00:00,0.09,0.021
2026-04-24,19:00,2026-04-24 19:00:00,0.007,
2026-04-24,20:00,2026-04-24 20:00:00,0.019,
2026-04-24,21:00,2026-04-24 21:00:00,0.0,
2026-04-24,22:00,2026-04-24 22:00:00,0.013,
2026-04-24,23:00,2026-04-24 23:00:00,0.018,
2026-04-25,00:00,2026-04-25 00:00:00,0.0,
2026-04-25,01:00,2026-04-25 01:00:00,0.0,
2026-04-25,02:00,2026-04-25 02:00:00,0.0,
2026-04-25,03:00,2026-04-25 03:00:00,0.028,
2026-04-25,04:00,2026-04-25 04:00:00,0.02,
2026-04-25,05:00,2026-04-25 05:00:00,0.0,0.0
2026-04-25,06:00,2026-04-25 06:00:00,0.217,0.368
2026-04-25,07:00,2026-04-25 07:00:00,1.144,1.781
2026-04-25,08:00,2026-04-25 08:00:00,1.813,3.303
2026-04-25,09:00,2026-04-25 09:00:00,2.041,4.448
2026-04-25,10:00,2026-04-25 10:00:00,2.401,5.473
2026-04-25,11:00,2026-04-25 11:00:00,2.491,4.477
2026-04-25,12:00,2026-04-25 12:00:00,2.7,5.721
2026-04-25,13:00,2026-04-25 13:00:00,2.368,5.341
2026-04-25,14:00,2026-04-25 14:00:00,2.32,4.684
2026-04-25,15:00,2026-04-25 15:00:00,2.054,3.679
2026-04-25,16:00,2026-04-25 16:00:00,1.58,
2026-04-25,17:00,2026-04-25 17:00:00,0.748,
2026-04-25,18:00,2026-04-25 18:00:00,0.088,
2026-04-25,19:00,2026-04-25 19:00:00,0.004,
2026-04-25,20:00,2026-04-25 20:00:00,0.019,
2026-04-25,21:00,2026-04-25 21:00:00,0.0,
2026-04-25,22:00,2026-04-25 22:00:00,0.017,
2026-04-25,23:00,2026-04-25 23:00:00,0.021,
2026-04-28,00:00,2026-04-28 00:00:00,0.0,
2026-04-28,01:00,2026-04-28 01:00:00,0.0,
2026-04-28,02:00,2026-04-28 02:00:00,0.002,
2026-04-28,03:00,2026-04-28 03:00:00,0.026,
2026-04-28,04:00,2026-04-28 04:00:00,0.019,
2026-04-28,05:00,2026-04-28 05:00:00,0.0,0.0
2026-04-28,06:00,2026-04-28 06:00:00,0.22,0.214
2026-04-28,07:00,2026-04-28 07:00:00,1.141,1.344
2026-04-28,08:00,2026-04-28 08:00:00,1.808,2.274
2026-04-28,09:00,2026-04-28 09:00:00,2.033,2.54
2026-04-28,10:00,2026-04-28 10:00:00,2.385,4.296
2026-04-28,11:00,2026-04-28 11:00:00,2.47,5.191
2026-04-28,12:00,2026-04-28 12:00:00,2.674,5.737
2026-04-28,13:00,2026-04-28 13:00:00,2.349,
2026-04-28,14:00,2026-04-28 14:00:00,2.307,
2026-04-28,15:00,2026-04-28 15:00:00,2.044,
2026-04-28,16:00,2026-04-28 16:00:00,1.579,
2026-04-28,17:00,2026-04-28 17:00:00,0.748,
2026-04-28,18:00,2026-04-28 18:00:00,0.088,
2026-04-28,19:00,2026-04-28 19:00:00,0.007,
2026-04-28,20:00,2026-04-28 20:00:00,0.018,
2026-04-28,21:00,2026-04-28 21:00:00,0.0,
2026-04-28,22:00,2026-04-28 22:00:00,0.014,
2026-04-28,23:00,2026-04-28 23:00:00,0.018,
2026-04-23,00:00,2026-04-23 00:00:00,0.0,
2026-04-23,01:00,2026-04-23 01:00:00,0.0,
2026-04-23,02:00,2026-04-23 02:00:00,0.001,
2026-04-23,03:00,2026-04-23 03:00:00,0.026,
2026-04-23,04:00,2026-04-23 04:00:00,0.022,
2026-04-23,05:00,2026-04-23 05:00:00,0.0,
2026-04-23,06:00,2026-04-23 06:00:00,0.219,
2026-04-23,07:00,2026-04-23 07:00:00,1.143,
2026-04-23,08:00,2026-04-23 08:00:00,1.815,
2026-04-23,09:00,2026-04-23 09:00:00,2.042,
2026-04-23,10:00,2026-04-23 10:00:00,2.397,
2026-04-23,11:00,2026-04-23 11:00:00,2.491,
2026-04-23,12:00,2026-04-23 12:00:00,2.695,
2026-04-23,13:00,2026-04-23 13:00:00,2.366,4.383
2026-04-23,14:00,2026-04-23 14:00:00,2.317,4.423
2026-04-23,15:00,2026-04-23 15:00:00,2.055,3.961
2026-04-23,16:00,2026-04-23 16:00:00,1.578,2.372
2026-04-23,17:00,2026-04-23 17:00:00,0.747,0.954
