target_dt,date,hour,actual_kW,predicted_pv_kW,actual_cf,predicted_cf,cloud_cover_%,GHI_Wm2,temp_C,weather,cf_error
2026-04-22 05:00:00,2026-04-22,05:00,0.0,0.023,0.0,7.796610169491526e-05,76.0,0.0,27.3,broken clouds,0.0001
2026-04-22 06:00:00,2026-04-22,06:00,0.29275,0.075,0.058550000000000005,0.0002542372881355932,43.0,0.0,27.6,scattered clouds,-0.0583
2026-04-22 07:00:00,2026-04-22,07:00,1.52975,0.522,0.30595,0.0017694915254237288,37.0,135.9,28.4,scattered clouds,-0.3042
2026-04-22 08:00:00,2026-04-22,08:00,3.1678333333333337,1.602,0.6335666666666667,0.005430508474576271,51.0,361.6,29.2,broken clouds,-0.6281
2026-04-22 09:00:00,2026-04-22,09:00,4.7696,3.062,0.9539199999999999,0.010379661016949152,56.0,559.5,29.9,broken clouds,-0.9435
2026-04-22 10:00:00,2026-04-22,10:00,4.423166666666667,4.375,0.8846333333333334,0.014830508474576272,52.0,744.6,30.3,broken clouds,-0.8698
2026-04-22 11:00:00,2026-04-22,11:00,5.6765,5.236,1.1353,0.01774915254237288,49.0,870.9,30.5,scattered clouds,-1.1176
2026-04-22 12:00:00,2026-04-22,12:00,5.626166666666666,5.649,1.1252333333333333,0.019149152542372882,7.0,982.2,30.6,clear sky,-1.1061
2026-04-22 13:00:00,2026-04-22,13:00,5.409833333333334,5.771,1.0819666666666667,0.01956271186440678,22.0,951.1,30.8,few clouds,-1.0624
2026-04-22 14:00:00,2026-04-22,14:00,4.524249999999999,5.629,0.9048499999999999,0.01908135593220339,35.0,835.9,30.5,scattered clouds,-0.8858
2026-04-22 15:00:00,2026-04-22,15:00,3.4736666666666665,4.941,0.6947333333333333,0.016749152542372883,30.0,677.2,30.1,scattered clouds,-0.678
2026-04-22 16:00:00,2026-04-22,16:00,2.12175,3.467,0.42435,0.011752542372881356,32.0,457.3,29.9,scattered clouds,-0.4126
2026-04-22 17:00:00,2026-04-22,17:00,1.006,1.733,0.2012,0.005874576271186441,43.0,204.3,29.5,scattered clouds,-0.1953
2026-04-22 18:00:00,2026-04-22,18:00,0.16,0.572,0.032,0.0019389830508474576,98.0,2.6,28.8,overcast clouds,-0.0301
2026-04-23 13:00:00,2026-04-23,13:00,4.383,2.775,0.8766,0.009406779661016948,100.0,238.4,30.8,overcast clouds,-0.8672
2026-04-23 14:00:00,2026-04-23,14:00,4.422916666666667,2.402,0.8845833333333333,0.008142372881355933,100.0,213.1,30.4,overcast clouds,-0.8764
2026-04-23 15:00:00,2026-04-23,15:00,3.9607272727272727,1.851,0.7921454545454545,0.006274576271186441,100.0,171.1,30.1,overcast clouds,-0.7859
2026-04-23 16:00:00,2026-04-23,16:00,2.371916666666667,1.129,0.4743833333333334,0.0038271186440677965,100.0,115.8,29.8,overcast clouds,-0.4706
2026-04-23 17:00:00,2026-04-23,17:00,0.9536666666666668,0.497,0.19073333333333337,0.0016847457627118644,100.0,53.2,29.5,overcast clouds,-0.189
2026-04-23 18:00:00,2026-04-23,18:00,0.06972727272727273,0.176,0.013945454545454547,0.0005966101694915254,91.0,3.9,28.8,overcast clouds,-0.0133
2026-04-24 05:00:00,2026-04-24,05:00,0.0,0.017,0.0,5.76271186440678e-05,98.0,0.0,28.2,light rain,0.0001
2026-04-24 06:00:00,2026-04-24,06:00,0.002166666666666667,0.015,0.0004333333333333334,5.0847457627118643e-05,86.0,0.0,28.3,light rain,-0.0004
2026-04-24 07:00:00,2026-04-24,07:00,0.22666666666666668,0.348,0.04533333333333334,0.0011796610169491524,90.0,67.2,28.8,light rain,-0.0442
2026-04-24 08:00:00,2026-04-24,08:00,0.4106666666666667,1.406,0.08213333333333334,0.004766101694915254,93.0,162.4,29.7,light rain,-0.0774
2026-04-24 09:00:00,2026-04-24,09:00,0.18916666666666668,2.968,0.03783333333333334,0.010061016949152542,76.0,440.3,29.8,light rain,-0.0278
2026-04-24 10:00:00,2026-04-24,10:00,1.2088333333333334,4.133,0.24176666666666669,0.014010169491525424,72.0,610.6,30.0,light rain,-0.2278
2026-04-24 11:00:00,2026-04-24,11:00,2.1824166666666667,4.424,0.43648333333333333,0.014996610169491527,74.0,679.9,30.0,light rain,-0.4215
2026-04-24 12:00:00,2026-04-24,12:00,1.9797500000000001,4.304,0.39595,0.014589830508474576,94.0,384.3,30.0,light rain,-0.3814
2026-04-24 13:00:00,2026-04-24,13:00,1.49,4.435,0.298,0.015033898305084744,93.0,394.2,30.1,light rain,-0.283
2026-04-24 14:00:00,2026-04-24,14:00,2.66675,4.618,0.53335,0.015654237288135593,77.0,588.4,29.9,light rain,-0.5177
2026-04-24 15:00:00,2026-04-24,15:00,2.01575,4.064,0.40315,0.013776271186440679,71.0,523.0,29.9,light rain,-0.3894
2026-04-24 16:00:00,2026-04-24,16:00,1.5290833333333333,2.577,0.3058166666666667,0.008735593220338983,86.0,254.6,29.9,overcast clouds,-0.2971
2026-04-24 17:00:00,2026-04-24,17:00,0.5011666666666666,1.019,0.10023333333333333,0.003454237288135593,82.0,131.0,29.3,broken clouds,-0.0968
